Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,0,National,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,15733,"$45,913.44","$9,340.10","$7,418.86"
National,0,National,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,2822,"$39,494.31","$7,206.75","$5,309.41"
National,0,National,73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,5359,"$66,786.37","$14,821.72","$12,081.17"
National,0,National,74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,10944,"$48,589.62","$9,934.70","$7,571.44"
National,0,National,75,VIRAL MENINGITIS WITH CC/MCC,405,"$90,887.50","$16,239.40","$12,814.80"
National,0,National,76,VIRAL MENINGITIS WITHOUT CC/MCC,73,"$45,169.55","$9,455.44","$6,515.19"
National,0,National,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1529,"$69,897.64","$14,146.40","$11,920.29"
National,0,National,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,1884,"$49,861.95","$8,503.54","$6,527.94"
National,0,National,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,249,"$38,414.35","$6,638.27","$4,610.26"
National,0,National,80,NONTRAUMATIC STUPOR AND COMA WITH MCC,1009,"$86,328.18","$19,763.90","$16,689.84"
National,0,National,81,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,450,"$40,353.42","$8,465.94","$6,237.02"
National,0,National,82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,9539,"$104,345.31","$22,916.06","$19,606.62"
National,0,National,83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,9200,"$63,981.07","$13,117.99","$10,520.99"
National,0,National,84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,3639,"$46,529.46","$9,215.73","$6,792.25"
National,0,National,85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,9410,"$95,740.59","$20,854.48","$17,976.00"
National,0,National,86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,12241,"$61,898.13","$11,680.93","$9,376.92"
National,0,National,87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,5294,"$44,738.14","$8,260.61","$6,080.75"
National,0,National,88,CONCUSSION WITH MCC,522,"$68,829.76","$13,955.40","$11,365.92"
National,0,National,89,CONCUSSION WITH CC,1168,"$58,022.95","$10,497.02","$7,498.46"
National,0,National,90,CONCUSSION WITHOUT CC/MCC,361,"$48,843.71","$7,857.36","$5,586.12"
National,0,National,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,15147,"$73,495.80","$16,151.77","$13,517.51"
National,0,National,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,18017,"$46,418.73","$9,415.50","$7,360.64"
National,0,National,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5151,"$40,219.22","$7,481.98","$5,575.46"
National,0,National,94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1356,"$152,528.35","$34,834.19","$29,780.18"
National,0,National,95,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1101,"$101,451.86","$23,123.09","$18,849.69"
National,0,National,96,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,303,"$104,734.51","$21,647.24","$17,095.64"
National,0,National,97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,1758,"$159,914.45","$37,851.43","$31,294.19"
National,0,National,98,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1102,"$100,839.99","$22,046.66","$16,952.65"
National,0,National,99,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,270,"$66,209.34","$13,605.23","$9,270.85"
National,0,National,100,SEIZURES WITH MCC,23510,"$86,918.72","$18,011.43","$15,138.33"
National,0,National,101,SEIZURES WITHOUT MCC,26935,"$44,029.67","$8,805.14","$6,612.64"
National,0,National,102,HEADACHES WITH MCC,975,"$57,273.25","$11,540.00","$8,834.48"
National,0,National,103,HEADACHES WITHOUT MCC,5696,"$43,271.50","$8,708.17","$5,702.91"
National,0,National,113,ORBITAL PROCEDURES WITH CC/MCC,410,"$122,676.19","$26,627.95","$21,424.86"
National,0,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,77,"$65,897.36","$14,899.35","$12,057.06"
National,0,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,646,"$76,974.55","$16,945.08","$12,572.94"
National,0,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,374,"$87,488.18","$22,275.17","$17,817.50"
National,0,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,107,"$58,478.69","$13,982.50","$9,282.94"
National,0,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,570,"$53,122.12","$14,491.48","$10,898.58"
National,0,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,132,"$29,262.37","$8,477.42","$5,197.72"
National,0,National,123,NEUROLOGICAL EYE DISORDERS,2992,"$43,923.84","$7,952.69","$5,477.10"
National,0,National,124,OTHER DISORDERS OF THE EYE WITH MCC,994,"$58,409.68","$14,406.42","$11,764.45"
National,0,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,2638,"$40,882.10","$8,735.37","$6,468.78"
National,0,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,226,"$131,904.31","$26,541.55","$22,090.50"
National,0,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,86,"$56,536.01","$12,759.78","$9,701.92"
National,0,National,137,MOUTH PROCEDURES WITH CC/MCC,478,"$70,414.21","$16,317.50","$12,432.26"
National,0,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,193,"$46,026.99","$9,727.33","$6,698.79"
National,0,National,139,SALIVARY GLAND PROCEDURES,216,"$61,902.17","$12,517.75","$9,771.82"
National,0,National,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,657,"$187,630.78","$44,200.22","$37,302.02"
National,0,National,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2205,"$112,616.69","$24,034.81","$19,259.78"
National,0,National,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1186,"$84,392.94","$16,965.54","$13,307.93"
National,0,National,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",717,"$156,341.33","$33,213.71","$27,635.25"
National,0,National,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1336,"$90,820.96","$18,557.47","$14,495.02"
National,0,National,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",855,"$67,633.01","$13,248.21","$9,739.74"
National,0,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1182,"$95,845.92","$22,669.50","$18,639.21"
National,0,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",646,"$56,891.84","$13,372.35","$10,721.89"
National,0,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",135,"$42,395.37","$9,205.83","$6,932.85"
National,0,National,149,DYSEQUILIBRIUM,12317,"$39,404.27","$6,853.70","$5,006.47"
National,0,National,150,EPISTAXIS WITH MCC,850,"$52,974.39","$12,183.00","$10,318.62"
National,0,National,151,EPISTAXIS WITHOUT MCC,1405,"$32,314.49","$6,916.99","$5,205.07"
National,0,National,152,OTITIS MEDIA AND URI WITH MCC,1624,"$50,818.12","$11,402.21","$8,829.28"
National,0,National,153,OTITIS MEDIA AND URI WITHOUT MCC,3016,"$32,732.31","$7,036.08","$4,871.98"
National,0,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1913,"$68,449.97","$15,200.08","$12,681.24"
National,0,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",2898,"$43,025.87","$8,892.29","$6,726.12"
National,0,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",819,"$30,331.40","$6,461.43","$4,478.18"
National,0,National,157,DENTAL AND ORAL DISEASES WITH MCC,1548,"$73,402.21","$16,422.54","$13,621.42"
National,0,National,158,DENTAL AND ORAL DISEASES WITH CC,2465,"$43,085.44","$9,100.55","$6,715.20"
National,0,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,559,"$33,540.14","$7,155.37","$4,975.41"
National,0,National,163,MAJOR CHEST PROCEDURES WITH MCC,11815,"$199,034.59","$43,644.83","$37,616.83"
National,0,National,164,MAJOR CHEST PROCEDURES WITH CC,14388,"$117,286.88","$24,270.28","$19,749.03"
National,0,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6680,"$92,079.05","$18,130.06","$14,169.76"
National,0,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,8764,"$162,266.01","$35,726.26","$30,369.74"
National,0,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,4590,"$87,435.93","$17,117.38","$13,569.68"
National,0,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1557,"$69,145.46","$13,051.73","$9,848.17"
National,0,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,29021,"$58,912.86","$13,279.45","$10,905.49"
National,0,National,176,PULMONARY EMBOLISM WITHOUT MCC,17821,"$37,629.10","$8,030.74","$5,918.84"
National,0,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,276186,"$64,862.32","$18,154.14","$15,676.70"
National,0,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,50870,"$39,863.99","$11,548.01","$9,525.88"
National,0,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,10363,"$31,600.50","$8,804.98","$6,942.97"
National,0,National,180,RESPIRATORY NEOPLASMS WITH MCC,15302,"$78,049.29","$16,227.71","$13,558.43"
National,0,National,181,RESPIRATORY NEOPLASMS WITH CC,5549,"$52,706.04","$10,514.42","$8,340.11"
National,0,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,275,"$38,891.29","$8,017.41","$6,225.18"
National,0,National,183,MAJOR CHEST TRAUMA WITH MCC,4501,"$71,165.33","$14,927.68","$12,109.99"
National,0,National,184,MAJOR CHEST TRAUMA WITH CC,8860,"$50,604.76","$10,192.04","$7,476.54"
National,0,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2092,"$36,985.51","$7,619.65","$5,295.94"
National,0,National,186,PLEURAL EFFUSION WITH MCC,7933,"$64,417.68","$13,494.17","$11,297.40"
National,0,National,187,PLEURAL EFFUSION WITH CC,4073,"$44,331.68","$9,164.26","$7,337.46"
National,0,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,589,"$35,665.31","$6,687.56","$4,944.63"
National,0,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,87477,"$51,670.26","$11,400.33","$9,365.92"
National,0,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,61033,"$45,359.69","$9,978.88","$8,037.42"
National,0,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,21861,"$35,975.38","$7,942.10","$6,166.75"
National,0,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,5907,"$27,700.67","$6,298.10","$4,539.03"
National,0,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,123532,"$53,245.86","$11,133.49","$9,150.06"
National,0,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,45035,"$34,532.15","$7,615.23","$5,776.71"
National,0,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,8533,"$26,925.68","$6,015.97","$4,195.22"
National,0,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,9261,"$79,943.57","$16,633.36","$13,770.80"
National,0,National,197,INTERSTITIAL LUNG DISEASE WITH CC,1649,"$44,970.87","$9,494.54","$7,279.58"
National,0,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,333,"$37,175.88","$7,190.79","$5,169.34"
National,0,National,199,PNEUMOTHORAX WITH MCC,7056,"$72,140.86","$15,971.18","$13,347.12"
National,0,National,200,PNEUMOTHORAX WITH CC,8778,"$47,841.05","$10,215.97","$7,553.29"
National,0,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1173,"$29,013.32","$7,030.29","$4,684.99"
National,0,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,15939,"$41,319.47","$8,921.19","$6,779.12"
National,0,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,2352,"$30,903.21","$6,731.72","$4,677.06"
National,0,National,204,RESPIRATORY SIGNS AND SYMPTOMS,4617,"$39,306.62","$7,648.30","$5,784.29"
National,0,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,9673,"$78,994.50","$18,127.29","$14,320.13"
National,0,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,6289,"$43,165.33","$9,004.73","$6,753.48"
National,0,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,17788,"$272,661.12","$60,344.33","$52,894.24"
National,0,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,35196,"$116,748.64","$24,270.78","$21,075.05"
National,0,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,3917,"$445,645.93","$93,107.68","$84,389.39"
National,0,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,5686,"$454,545.81","$96,584.28","$84,533.53"
National,0,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,1830,"$296,653.85","$59,132.03","$50,612.11"
National,0,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,320,"$260,434.92","$51,486.15","$44,136.34"
National,0,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,13251,"$365,763.22","$80,496.33","$68,447.74"
National,0,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,10607,"$244,179.70","$50,887.97","$41,840.10"
National,0,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,1445,"$204,321.81","$40,992.07","$33,757.26"
National,0,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1625,"$339,552.49","$72,129.23","$61,536.24"
National,0,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",268,"$233,761.91","$45,666.85","$42,252.41"
National,0,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1738,"$319,624.66","$66,844.61","$58,773.48"
National,0,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1203,"$221,908.16","$47,776.18","$40,254.19"
National,0,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,3728,"$269,673.65","$57,167.43","$51,391.74"
National,0,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,2702,"$209,911.41","$44,490.37","$38,785.70"
National,0,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,4390,"$224,840.51","$48,100.79","$43,696.56"
National,0,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,5329,"$145,101.02","$28,987.03","$25,563.41"
National,0,National,231,CORONARY BYPASS WITH PTCA WITH MCC,773,"$391,037.41","$80,692.14","$66,881.32"
National,0,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,432,"$286,825.89","$53,391.13","$43,171.03"
National,0,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,10118,"$346,527.26","$67,115.66","$56,649.10"
National,0,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,9726,"$235,045.26","$44,148.56","$36,086.03"
National,0,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,10924,"$263,222.23","$53,908.33","$44,871.25"
National,0,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15624,"$184,090.52","$35,502.06","$28,245.42"
National,0,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,7369,"$183,305.43","$41,914.33","$36,736.35"
National,0,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,5682,"$111,381.68","$23,893.52","$20,161.16"
National,0,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,392,"$57,491.76","$13,290.07","$11,197.28"
National,0,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,16059,"$148,637.49","$30,883.92","$27,665.04"
National,0,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,19038,"$103,252.82","$20,486.73","$17,789.50"
National,0,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,9608,"$84,170.51","$16,819.18","$13,973.22"
National,0,National,245,AICD GENERATOR PROCEDURES,792,"$208,048.01","$47,371.67","$41,652.66"
